experiment_name,best_val_accuracy,best_train_accuracy,final_val_loss,epochs_trained,training_time,rotation,zoom,translation,brightness,contrast,noise
trans10pct_bright20pct_cont30pct_noise5pct,0.8983050584793091,1.0,0.565909743309021,25,318.1918044090271,0.0,0.0,0.1,0.2,0.3,0.05
bright30pct_noise8pct,0.8813559412956238,1.0,0.43095505237579346,26,297.1299612522125,0.0,0.0,0.0,0.3,0.0,0.08
trans10pct_bright30pct_cont30pct_noise5pct,0.8644067645072937,1.0,0.35821080207824707,21,274.4207034111023,0.0,0.0,0.1,0.3,0.3,0.05
trans15pct_bright40pct_cont30pct_noise5pct,0.8474576473236084,1.0,1.2010681629180908,25,316.89637756347656,0.0,0.0,0.15,0.4,0.3,0.05
trans15pct_bright30pct_cont40pct,0.8474576473236084,1.0,0.4286407232284546,21,259.98070454597473,0.0,0.0,0.15,0.3,0.4,0.0
zoom15pct_cont20pct,0.8305084705352783,1.0,0.783935546875,30,437.56945061683655,0.0,0.15,0.0,0.0,0.2,0.0
trans10pct_bright40pct_cont30pct_noise5pct,0.8305084705352783,1.0,1.0600016117095947,30,379.1084530353546,0.0,0.0,0.1,0.4,0.3,0.05
trans15pct_bright40pct_noise5pct,0.8305084705352783,1.0,0.6644605398178101,14,172.61485171318054,0.0,0.0,0.15,0.4,0.0,0.05
trans15pct_noise8pct,0.8135592937469482,1.0,2.505136728286743,30,351.44678711891174,0.0,0.0,0.15,0.0,0.0,0.08
trans10pct_bright30pct_noise8pct,0.8135592937469482,1.0,1.2611256837844849,25,303.5528702735901,0.0,0.0,0.1,0.3,0.0,0.08
bright20pct_cont30pct_noise8pct,0.8135592937469482,1.0,1.8332716226577759,24,288.80021691322327,0.0,0.0,0.0,0.2,0.3,0.08
bright40pct_noise8pct,0.7966101765632629,1.0,0.7291375398635864,26,297.29700469970703,0.0,0.0,0.0,0.4,0.0,0.08
trans15pct_cont40pct,0.7966101765632629,1.0,0.8930404186248779,21,250.0371015071869,0.0,0.0,0.15,0.0,0.4,0.0
trans15pct_bright20pct,0.7966101765632629,0.9996180534362793,1.1064707040786743,13,155.60110521316528,0.0,0.0,0.15,0.2,0.0,0.0
bright40pct_cont30pct,0.7796609997749329,1.0,1.2527928352355957,22,254.86479473114014,0.0,0.0,0.0,0.4,0.3,0.0
bright20pct_cont40pct,0.7627118825912476,1.0,1.4551843404769897,27,312.47328519821167,0.0,0.0,0.0,0.2,0.4,0.0
